LRSN,PIN,curr_own_len,avg_own_len,PropClas,resOwner,ownerDistance
19902,E0000608025,4007.0,1867.0,110,0,3
7370,C0050867074,1632.0,1386.0,115,1,0
10155,C0070176006,9290.0,9352.0,110,0,2
57333,W0001006041,331.0,991.0,120,1,0
77305,W0001249035,854.0,2476.0,211,0,3
61245,W0001466025,3502.0,2630.0,120,1,0
1523,C0011053018,1974.0,5031.0,150,1,0
15778,C0090687007,12462.0,10309.0,110,1,0
76723,N0000062056,1095.0,1741.0,211,1,0
80787,E0000626029B,,,196,0,2
68283,W0210255009,12357.0,6225.0,115,1,0
55577,W0000837064,2191.0,2666.0,110,1,0
50762,S0090224021,18914.0,18914.0,315,0,2
33777,N0001150016,19776.0,19776.0,120,1,0
38952,N0170134016,3984.0,5125.0,115,1,0
37559,N0002177018,5351.0,3283.0,115,1,0
42981,S0000760005,3160.0,9943.0,110,1,0
60943,W0001442019,280.0,878.0,115,1,0
15910,C0090715010,5355.0,2840.0,110,1,0
50272,S0080810011,6056.0,2301.0,115,0,2
6539,C0050647014,6314.0,4903.0,110,0,3
10361,C0070220025,2458.0,4291.0,110,0,3
37731,N0002185005,5602.0,3113.0,110,1,0
47291,S0060265028,305.0,141.0,115,1,0
12804,C0080694044,19863.0,19863.0,110,1,0
37009,N0001897009,13344.0,8373.0,115,1,0
62383,W0001602036,4672.0,5739.0,160,0,1
36020,N0001561001,347.0,943.0,110,0,1
31491,N0000895016,14870.0,8799.0,110,0,2
81403,E0001763316,576.0,527.0,212,0,4
46013,S0002921028,12246.0,10767.0,110,1,0
75257,C0050603149,350.0,1095.0,120,1,0
1999,C0011262006,716.0,1214.0,150,1,0
29191,N0000562016,12268.0,4986.0,120,1,0
45414,S0002488018,1375.0,1644.0,120,1,0
37450,N0002100023,372.0,1891.0,110,1,0
19246,E0000528026,3049.0,1134.0,120,1,0
30386,N0000707022,1918.0,2522.0,120,0,2
6908,C0050762008,878.0,1239.0,110,1,0
22554,E0001056002,9135.0,4741.0,110,0,4
64147,W0002024004,3227.0,2087.0,120,0,4
10349,C0070220013,14840.0,5605.0,150,1,0
41891,S0000395012,1479.0,4998.0,120,0,2
20512,E0000708028,640.0,839.0,120,1,0
6384,C0050603045,2891.0,3155.0,355,0,4
30455,N0000717003,1793.0,2177.0,160,0,2
49859,S0080592006,2811.0,1922.0,110,1,0
1519,C0011053010,543.0,1956.0,110,1,0
3952,C0040457030,5309.0,5327.0,110,1,0
66913,W0200152001,2423.0,2104.0,120,1,0
35047,N0001347016,13311.0,5700.0,120,1,0
2635,C0030061016,1717.0,840.0,150,1,0
5403,C0050227002,1107.0,1160.0,110,1,0
